outer_fold,model,trial_number,inner_cv_mean_mae,state,parameters_json
2,random_forest,6,1702.1859806484172,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.731324607025594, ""min_samples_leaf"": 4, ""n_estimators"": 200}"
2,random_forest,7,1713.12822549988,COMPLETE,"{""max_depth"": 10, ""max_features"": 0.6577285236381651, ""min_samples_leaf"": 5, ""n_estimators"": 200}"
2,random_forest,8,1637.3399615800195,COMPLETE,"{""max_depth"": 18, ""max_features"": 0.9069980777654898, ""min_samples_leaf"": 2, ""n_estimators"": 75}"
2,random_forest,9,1882.876459000608,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.539546727293778, ""min_samples_leaf"": 8, ""n_estimators"": 150}"
2,random_forest,10,1691.2404840702031,COMPLETE,"{""max_depth"": 5, ""max_features"": 0.7743179690297513, ""min_samples_leaf"": 3, ""n_estimators"": 250}"
2,random_forest,11,1555.8578182171864,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.9975394290758844, ""min_samples_leaf"": 1, ""n_estimators"": 250}"
2,random_forest,12,1555.8578182171864,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.9881630557826772, ""min_samples_leaf"": 1, ""n_estimators"": 250}"
2,random_forest,13,1602.0808361872182,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.862844651158721, ""min_samples_leaf"": 2, ""n_estimators"": 225}"
2,random_forest,14,1602.0808361872182,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.8710280005208618, ""min_samples_leaf"": 2, ""n_estimators"": 225}"
2,random_forest,15,1519.5054320256286,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.9832612572806506, ""min_samples_leaf"": 3, ""n_estimators"": 250}"
2,random_forest,16,1633.039733631289,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.8236718799087526, ""min_samples_leaf"": 3, ""n_estimators"": 200}"
2,random_forest,17,1575.6834555848477,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.934970696049821, ""min_samples_leaf"": 3, ""n_estimators"": 225}"
2,random_forest,18,1627.9103423523952,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.8306402693303683, ""min_samples_leaf"": 4, ""n_estimators"": 250}"
2,random_forest,19,1585.961252190705,COMPLETE,"{""max_depth"": 18, ""max_features"": 0.9374214050316151, ""min_samples_leaf"": 4, ""n_estimators"": 175}"
2,gradient_boosting,0,4044.475345680507,COMPLETE,"{""learning_rate"": 0.01346363784643159, ""max_depth"": 2, ""min_samples_leaf"": 4, ""n_estimators"": 100}"
2,gradient_boosting,1,4668.367822720271,COMPLETE,"{""learning_rate"": 0.01919385953985744, ""max_depth"": 5, ""min_samples_leaf"": 6, ""n_estimators"": 50}"
2,gradient_boosting,2,1687.0579135072544,COMPLETE,"{""learning_rate"": 0.046270746864632374, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 175}"
2,gradient_boosting,3,3564.7409429918725,COMPLETE,"{""learning_rate"": 0.012782707757995618, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
2,gradient_boosting,4,1789.002862905459,COMPLETE,"{""learning_rate"": 0.07081500767852503, ""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 50}"
2,gradient_boosting,5,2266.327520210804,COMPLETE,"{""learning_rate"": 0.011440510700581656, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 250}"
2,gradient_boosting,6,1748.6376330023952,COMPLETE,"{""learning_rate"": 0.0708160541849514, ""max_depth"": 5, ""min_samples_leaf"": 7, ""n_estimators"": 175}"
2,gradient_boosting,7,1689.4575149723914,COMPLETE,"{""learning_rate"": 0.09809678078236334, ""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 250}"
2,gradient_boosting,8,1697.8007185387771,COMPLETE,"{""learning_rate"": 0.035559298034224605, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 175}"
2,gradient_boosting,9,1782.1812780799949,COMPLETE,"{""learning_rate"": 0.02767889759691679, ""max_depth"": 2, ""min_samples_leaf"": 2, ""n_estimators"": 225}"
2,gradient_boosting,10,1740.6428512424488,COMPLETE,"{""learning_rate"": 0.1922924905815938, ""max_depth"": 4, ""min_samples_leaf"": 4, ""n_estimators"": 175}"
2,gradient_boosting,11,1707.8222180111225,COMPLETE,"{""learning_rate"": 0.08382831067145642, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 225}"
2,gradient_boosting,12,1734.1511934277714,COMPLETE,"{""learning_rate"": 0.12902367754237926, ""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 250}"
2,gradient_boosting,13,1768.3191329590306,COMPLETE,"{""learning_rate"": 0.03984657636487103, ""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 200}"
2,gradient_boosting,14,1684.9618423708591,COMPLETE,"{""learning_rate"": 0.05086986751756345, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 125}"
2,gradient_boosting,15,1778.714108880596,COMPLETE,"{""learning_rate"": 0.045871342248729664, ""max_depth"": 3, ""min_samples_leaf"": 3, ""n_estimators"": 125}"
2,gradient_boosting,16,1784.280401142621,COMPLETE,"{""learning_rate"": 0.0547270602243533, ""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 125}"
2,gradient_boosting,17,2277.6044971036777,COMPLETE,"{""learning_rate"": 0.02434028584458883, ""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 100}"
2,gradient_boosting,18,1676.4412891292839,COMPLETE,"{""learning_rate"": 0.05571824761731639, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
2,gradient_boosting,19,1682.6287207398468,COMPLETE,"{""learning_rate"": 0.13107875793722343, ""max_depth"": 3, ""min_samples_leaf"": 5, ""n_estimators"": 150}"
3,ridge,0,572.4527606611085,COMPLETE,"{""alpha"": 0.002114326164733786}"
3,ridge,1,849.5084408000687,COMPLETE,"{""alpha"": 12.929183450785697}"
3,ridge,2,572.5600115664198,COMPLETE,"{""alpha"": 0.001599618924147407}"
3,ridge,3,619.3280143070904,COMPLETE,"{""alpha"": 0.7659128539246933}"
3,ridge,4,910.3783901359171,COMPLETE,"{""alpha"": 46.92499714701238}"
