Date,Consumption,consumption_lag_1,consumption_lag_7,consumption_lag_14,consumption_lag_30,consumption_lag_365,rolling_mean_7,rolling_median_7,rolling_std_7,rolling_min_7,rolling_max_7,rolling_slope_7,rolling_mean_30,rolling_median_30,rolling_std_30,rolling_min_30,rolling_max_30,rolling_slope_30,ema_7,ema_30,day_over_day_change,growth_7d,day_of_week,month,is_weekend,season,day_of_year_sin,day_of_year_cos,day_of_week_sin,day_of_week_cos,fourier_weekly_sin_1,fourier_weekly_cos_1,fourier_weekly_sin_2,fourier_weekly_cos_2,fourier_yearly_sin_1,fourier_yearly_cos_1,fourier_yearly_sin_2,fourier_yearly_cos_2,is_canada_ontario_holiday,same_weekday_previous_week,same_period_previous_year
2014-12-11,99966.01331,99991.89306,100120.1823,101700.9192,103943.9608,108150.3724,99751.33675714287,99554.71523,258.00626129127266,99536.4892,100120.1823,15.264892500001034,101936.00765,102395.29415,1528.797848038954,99536.4892,104059.2481,-168.9741685250315,100000.12226059931,101382.17892673562,38.69049000000814,-0.0052287391025898355,3,12,0,winter,-0.35735092729884943,0.9339701894378923,0.43388373911755823,-0.900968867902419,-7.662058874553357e-13,1.0,-1.5324117749106713e-12,1.0,-0.35204312683169786,0.9359837802283547,-0.6590133133106854,0.7521312737011222,0,100120.1823,96828.15009
2014-12-12,99990.7995,99966.01331,99554.71523,101667.0155,104058.4046,108155.1707,99729.31261571428,99554.71523,225.84911386964646,99536.4892,99991.89306,90.95817214285734,101803.40940033334,102015.50885,1521.12703132598,99536.4892,104059.2481,-167.8358566696355,99991.59502294949,101290.81340307527,-25.879750000007334,-0.0015398392857301616,4,12,0,winter,-0.3412319636645278,0.9399791204987749,-0.433883739117558,-0.9009688679024191,0.781831482468097,0.6234898018586493,0.9749279121817757,-0.22252093395652445,-0.33589031091637067,0.9419011089453626,-0.6327509126722644,0.7743553980650077,0,99554.71523,96760.35368
2014-12-13,99268.19811,99990.7995,99536.4892,101521.6334,104059.2481,108157.4551,99791.61036857143,99953.20257,229.77199092887466,99536.4892,99991.89306,94.03214035714635,101667.82256366666,101683.96734999999,1494.2422080062915,99536.4892,104059.2481,-163.97842305895725,99991.39614221212,101206.94153836074,24.786189999998896,0.004380347721275804,5,12,1,winter,-0.32501201985537936,0.9457098851918206,-0.9749279121818236,-0.2225209339563146,0.9749279121820099,-0.22252093395549807,-0.4338837391160493,-0.9009688679031458,-0.31963809557211814,0.9475397025238729,-0.6057395719874041,0.7956629757180589,0,99536.4892,96362.2409
2014-12-14,99268.60813,99268.19811,99551.07571,101511.8758,103676.9385,108344.5798,99753.28306999999,99953.20257,293.0761323022126,99268.19811,99991.89306,1.5063742857118136,101508.12089733334,101594.32445,1485.8432676587659,99268.19811,103706.4482,-162.9672812413811,99810.5966341591,101081.86131717618,-722.6013899999962,-0.0026954043904534137,6,12,1,winter,-0.30869589581084605,0.9511607876219137,-0.7818314824680299,0.6234898018587334,0.43388373911752515,-0.900968867902435,-0.7818314824679842,0.6234898018587908,-0.30329129028849594,0.9528978923447881,-0.5780112625648782,0.8160287864702785,0,99551.07571,96486.26552
2014-12-15,99269.02312,99268.60813,99551.79923,101512.2602,103705.5991,108564.0815,99712.93055857143,99953.20257,341.07316437160097,99268.19811,99991.89306,-79.30984928571438,101361.17655166665,101516.9468,1481.9377422479806,99268.19811,103706.4482,-162.4583879310355,99675.09950811933,100964.87724058419,0.41001999999571126,-0.002837413639033508,0,12,0,winter,-0.2922884199328186,0.9563302147130855,0.0,1.0,-0.43388373911837846,-0.900968867902024,0.7818314824691652,0.6234898018573097,-0.2868547325467319,0.9579740927684542,-0.549598804335586,0.8354287248310859,0,99551.79923,96508.9108
2014-12-16,98848.93744,99269.02312,99953.20257,101075.4205,103705.359,109068.1292,99672.53397142855,99953.20257,378.0768748832205,99268.19811,99991.89306,-149.89012178571411,101213.29068566667,101512.068,1461.137094994483,99268.19811,103706.4482,-159.78772063848922,99573.5804110895,100855.46729732069,0.4149900000047637,-0.0028404922079478738,1,12,0,winter,-0.27579444765677436,0.9612166366858694,0.7818314824680298,0.6234898018587336,-0.9749279121814112,-0.22252093395812145,0.43388373912089806,-0.9009688679008107,-0.2703332863885027,0.9627668016037901,-0.5205358270066003,0.8538398285407836,0,99953.20257,96508.88142
2014-12-17,98715.82578,98848.93744,99991.89306,100517.4727,103706.4482,109328.7808,99514.78180999999,99269.02312,462.4191664923864,98848.93744,99991.89306,-198.03709321428417,101051.40996699999,101293.64815,1444.446290229924,98848.93744,103706.4482,-157.85493451613112,99392.41966831713,100726.01375813872,-420.0856800000038,-0.011047821396484542,2,12,0,winter,-0.2592188600149208,0.9658186075100049,0.9749279121818236,-0.22252093395631434,-0.7818314824686405,0.6234898018579677,-0.9749279121813876,-0.22252093395822445,-0.25373184097636603,0.9672746005528854,-0.4908567302559254,0.8712403057494882,0,99991.89306,96347.64653
2014-12-18,98572.14495,98715.82578,99966.01331,100120.1823,103546.4856,109621.2189,99332.4864842857,99268.60813,493.46789929228424,98715.82578,99990.7995,-215.4807750000032,100885.05588633333,100796.4466,1415.2109937324287,98715.82578,103546.4856,-154.61261109010314,99223.27119623785,100596.32421116203,-133.11165999999503,-0.012761707383960623,3,12,0,winter,-0.24256656219175124,0.9701347653323611,0.43388373911755823,-0.900968867902419,-1.0564607255827199e-13,1.0,-2.1129214511654398e-13,1.0,-0.23705530914675343,0.9714961556307555,-0.46059664301586245,0.8876095608106743,0,99966.01331,96261.03859
2014-12-19,98635.0418,98572.14495,99990.7995,99554.71523,102616.4388,109621.2162,99133.36243285715,99268.19811,476.143133355451,98572.14495,99990.7995,-206.4421071428565,100719.24453133334,100318.8275,1383.690583085559,98572.14495,102616.4388,-151.17992945050347,99060.48963467838,100465.73200076449,-143.6808299999975,-0.013943422507783042,4,12,0,winter,-0.22584248207247404,0.9741638328799443,-0.433883739117558,-0.9009688679024191,0.7818314824673747,0.623489801859555,0.9749279121822912,-0.2225209339542657,-0.22030862595645223,0.9754302175600159,-0.4297913818941007,0.90292821865836,0,99990.7995,95604.45299
2014-12-20,98507.85487,98635.0418,99268.19811,99536.4892,102527.9648,109620.7296,98939.68276142857,98848.93744,319.06533390403763,98572.14495,99269.02312,-137.34259392856757,100586.53129799999,100056.03768000001,1386.3815482815917,98572.14495,102535.1188,-151.54230028031358,98954.1276760088,100347.62295555389,62.89685000000463,-0.013558824479646124,5,12,1,winter,-0.20905156878470177,0.9779046178378825,-0.9749279121818236,-0.2225209339563146,0.9749279121818629,-0.22252093395614206,-0.4338837391172396,-0.9009688679025725,-0.20349674722196384,0.9790756221406395,-0.39847740877988136,0.9171781477401603,0,99268.19811,95559.07153
2014-12-21,98552.62299,98507.85487,99268.60813,99551.07571,102535.1188,109621.0217,98831.06229857143,98715.82578,318.00950790413,98507.85487,99269.02312,-136.6791039285645,100452.52763366667,99991.34628,1386.5434859321883,98507.85487,102535.1188,-151.5639193793132,98842.55947450659,100228.92824035688,-127.18693000001076,-0.007659484653458288,6,12,1,winter,-0.1921987912338717,0.9813560132022622,-0.7818314824680299,0.6234898018587334,0.43388373911856887,-0.9009688679019324,-0.7818314824694287,0.6234898018569793,-0.1866246480530483,0.9824312905944496,-0.36669178768698235,0.9303424814781517,0,99268.60813,95751.17714
